node,degree_centrality,closeness_centrality,betweenness_centrality
Algeria,0.40625,0.62745098,0.009119805
Crude Oil,0.625,0.727272727,0.032663398
Fuel Oil,0.625,0.727272727,0.032663398
Gas/diesel oil,0.625,0.727272727,0.032663398
Kerosenes,0.625,0.727272727,0.032663398
Kerosenes of which: kerosene type jet fuel,0.59375,0.695652174,0.028157833
Liquefied petroleum gases,0.625,0.727272727,0.032663398
Motor and aviation gasoline,0.625,0.727272727,0.032663398
NGL,0.59375,0.695652174,0.028157833
Naphtha,0.625,0.727272727,0.032663398
Other,0.53125,0.64,0.021450755
Other oil products,0.625,0.727272727,0.032663398
Total,0.5625,0.666666667,0.025440415
Total oil products,0.625,0.727272727,0.032663398
Bahrain,0.40625,0.62745098,0.009119805
Canada,0.40625,0.62745098,0.009119805
China,0.3125,0.561403509,0.004815265
India,0.40625,0.62745098,0.009119805
Iraq,0.40625,0.62745098,0.009119805
Kuwait,0.40625,0.62745098,0.009119805
Libya,0.40625,0.62745098,0.009119805
Mexico,0.40625,0.62745098,0.009119805
Morocco,0.40625,0.62745098,0.009119805
Norway,0.40625,0.62745098,0.009119805
Oman,0.40625,0.62745098,0.009119805
Qatar,0.40625,0.62745098,0.009119805
Russia,0.375,0.603773585,0.00732266
Saudi Arabia,0.40625,0.62745098,0.009119805
Syria,0.34375,0.581818182,0.005838195
Tunisia,0.40625,0.62745098,0.009119805
United Arab Emirates,0.40625,0.62745098,0.009119805
United States,0.40625,0.62745098,0.009119805
Yemen,0.375,0.603773585,0.007477961
